"type" "cohort" "bin" "r" "x" "t"
"1" "prenascence" "MN2" "MN1" 72 0.428571428571429 1
"2" "prenascence" "MN2" "MN2" 168 1 2
"3" "prenascence" "MN3" "MN1" 39 0.161825726141079 1
"4" "prenascence" "MN3" "MN2" 135 0.560165975103734 2
"5" "prenascence" "MN3" "MN3" 241 1 3
"6" "prenascence" "MN4" "MN1" 25 0.0726744186046512 1
"7" "prenascence" "MN4" "MN2" 88 0.255813953488372 2
"8" "prenascence" "MN4" "MN3" 194 0.563953488372093 3
"9" "prenascence" "MN4" "MN4" 344 1 4
"10" "prenascence" "MN5" "MN1" 16 0.0455840455840456 1
"11" "prenascence" "MN5" "MN2" 40 0.113960113960114 2
"12" "prenascence" "MN5" "MN3" 102 0.290598290598291 3
"13" "prenascence" "MN5" "MN4" 252 0.717948717948718 4
"14" "prenascence" "MN5" "MN5" 351 1 5
"15" "prenascence" "MN6" "MN1" 13 0.0379008746355685 1
"16" "prenascence" "MN6" "MN2" 33 0.0962099125364431 2
"17" "prenascence" "MN6" "MN3" 70 0.204081632653061 3
"18" "prenascence" "MN6" "MN4" 183 0.533527696793003 4
"19" "prenascence" "MN6" "MN5" 282 0.822157434402332 5
"20" "prenascence" "MN6" "MN6" 343 1 6
"21" "prenascence" "MN7/8" "MN1" 9 0.0260115606936416 1
"22" "prenascence" "MN7/8" "MN2" 21 0.0606936416184971 2
"23" "prenascence" "MN7/8" "MN3" 47 0.135838150289017 3
"24" "prenascence" "MN7/8" "MN4" 135 0.390173410404624 4
"25" "prenascence" "MN7/8" "MN5" 211 0.609826589595376 5
"26" "prenascence" "MN7/8" "MN6" 272 0.786127167630058 6
"27" "prenascence" "MN7/8" "MN7/8" 346 1 7
"28" "prenascence" "MN9" "MN1" 5 0.0128205128205128 1
"29" "prenascence" "MN9" "MN2" 14 0.0358974358974359 2
"30" "prenascence" "MN9" "MN3" 26 0.0666666666666667 3
"31" "prenascence" "MN9" "MN4" 84 0.215384615384615 4
"32" "prenascence" "MN9" "MN5" 120 0.307692307692308 5
"33" "prenascence" "MN9" "MN6" 154 0.394871794871795 6
"34" "prenascence" "MN9" "MN7/8" 228 0.584615384615385 7
"35" "prenascence" "MN9" "MN9" 390 1 8
"36" "prenascence" "MN10" "MN1" 4 0.0100502512562814 1
"37" "prenascence" "MN10" "MN2" 11 0.0276381909547739 2
"38" "prenascence" "MN10" "MN3" 20 0.050251256281407 3
"39" "prenascence" "MN10" "MN4" 54 0.135678391959799 4
"40" "prenascence" "MN10" "MN5" 76 0.190954773869347 5
"41" "prenascence" "MN10" "MN6" 99 0.248743718592965 6
"42" "prenascence" "MN10" "MN7/8" 142 0.35678391959799 7
"43" "prenascence" "MN10" "MN9" 304 0.763819095477387 8
"44" "prenascence" "MN10" "MN10" 398 1 9
"45" "prenascence" "MN11" "MN1" 4 0.0106666666666667 1
"46" "prenascence" "MN11" "MN2" 9 0.024 2
"47" "prenascence" "MN11" "MN3" 15 0.04 3
"48" "prenascence" "MN11" "MN4" 33 0.088 4
"49" "prenascence" "MN11" "MN5" 46 0.122666666666667 5
"50" "prenascence" "MN11" "MN6" 59 0.157333333333333 6
"51" "prenascence" "MN11" "MN7/8" 85 0.226666666666667 7
"52" "prenascence" "MN11" "MN9" 189 0.504 8
"53" "prenascence" "MN11" "MN10" 283 0.754666666666667 9
"54" "prenascence" "MN11" "MN11" 375 1 10
"55" "prenascence" "MN12" "MN1" 2 0.00544959128065395 1
"56" "prenascence" "MN12" "MN2" 7 0.0190735694822888 2
"57" "prenascence" "MN12" "MN3" 12 0.0326975476839237 3
"58" "prenascence" "MN12" "MN4" 23 0.0626702997275204 4
"59" "prenascence" "MN12" "MN5" 31 0.0844686648501362 5
"60" "prenascence" "MN12" "MN6" 41 0.111716621253406 6
"61" "prenascence" "MN12" "MN7/8" 61 0.166212534059946 7
"62" "prenascence" "MN12" "MN9" 137 0.373297002724796 8
"63" "prenascence" "MN12" "MN10" 210 0.572207084468665 9
"64" "prenascence" "MN12" "MN11" 302 0.822888283378747 10
"65" "prenascence" "MN12" "MN12" 367 1 11
"66" "prenascence" "MN13" "MN1" 1 0.00280898876404494 1
"67" "prenascence" "MN13" "MN2" 5 0.0140449438202247 2
"68" "prenascence" "MN13" "MN3" 9 0.0252808988764045 3
"69" "prenascence" "MN13" "MN4" 20 0.0561797752808989 4
"70" "prenascence" "MN13" "MN5" 26 0.0730337078651685 5
"71" "prenascence" "MN13" "MN6" 35 0.098314606741573 6
"72" "prenascence" "MN13" "MN7/8" 51 0.143258426966292 7
"73" "prenascence" "MN13" "MN9" 104 0.292134831460674 8
"74" "prenascence" "MN13" "MN10" 153 0.429775280898876 9
"75" "prenascence" "MN13" "MN11" 203 0.570224719101124 10
"76" "prenascence" "MN13" "MN12" 268 0.752808988764045 11
"77" "prenascence" "MN13" "MN13" 356 1 12
"78" "prenascence" "MN14" "MN1" 0 0 1
"79" "prenascence" "MN14" "MN2" 2 0.00649350649350649 2
"80" "prenascence" "MN14" "MN3" 4 0.012987012987013 3
"81" "prenascence" "MN14" "MN4" 9 0.0292207792207792 4
"82" "prenascence" "MN14" "MN5" 12 0.038961038961039 5
"83" "prenascence" "MN14" "MN6" 19 0.0616883116883117 6
"84" "prenascence" "MN14" "MN7/8" 32 0.103896103896104 7
"85" "prenascence" "MN14" "MN9" 46 0.149350649350649 8
"86" "prenascence" "MN14" "MN10" 73 0.237012987012987 9
"87" "prenascence" "MN14" "MN11" 82 0.266233766233766 10
"88" "prenascence" "MN14" "MN12" 108 0.350649350649351 11
"89" "prenascence" "MN14" "MN13" 196 0.636363636363636 12
"90" "prenascence" "MN14" "MN14" 308 1 13
"91" "prenascence" "MN15" "MN1" 0 0 1
"92" "prenascence" "MN15" "MN2" 2 0.00617283950617284 2
"93" "prenascence" "MN15" "MN3" 4 0.0123456790123457 3
"94" "prenascence" "MN15" "MN4" 8 0.0246913580246914 4
"95" "prenascence" "MN15" "MN5" 10 0.0308641975308642 5
"96" "prenascence" "MN15" "MN6" 15 0.0462962962962963 6
"97" "prenascence" "MN15" "MN7/8" 24 0.0740740740740741 7
"98" "prenascence" "MN15" "MN9" 30 0.0925925925925926 8
"99" "prenascence" "MN15" "MN10" 48 0.148148148148148 9
"100" "prenascence" "MN15" "MN11" 53 0.16358024691358 10
"101" "prenascence" "MN15" "MN12" 73 0.225308641975309 11
"102" "prenascence" "MN15" "MN13" 122 0.376543209876543 12
"103" "prenascence" "MN15" "MN14" 234 0.722222222222222 13
"104" "prenascence" "MN15" "MN15" 324 1 14
"105" "prenascence" "MN16" "MN1" 0 0 1
"106" "prenascence" "MN16" "MN2" 1 0.0028169014084507 2
"107" "prenascence" "MN16" "MN3" 3 0.00845070422535211 3
"108" "prenascence" "MN16" "MN4" 6 0.0169014084507042 4
"109" "prenascence" "MN16" "MN5" 7 0.0197183098591549 5
"110" "prenascence" "MN16" "MN6" 9 0.0253521126760563 6
"111" "prenascence" "MN16" "MN7/8" 15 0.0422535211267606 7
"112" "prenascence" "MN16" "MN9" 18 0.0507042253521127 8
"113" "prenascence" "MN16" "MN10" 27 0.076056338028169 9
"114" "prenascence" "MN16" "MN11" 30 0.0845070422535211 10
"115" "prenascence" "MN16" "MN12" 37 0.104225352112676 11
"116" "prenascence" "MN16" "MN13" 71 0.2 12
"117" "prenascence" "MN16" "MN14" 141 0.397183098591549 13
"118" "prenascence" "MN16" "MN15" 231 0.650704225352113 14
"119" "prenascence" "MN16" "MN16" 355 1 15
"120" "prenascence" "MN17" "MN2" 0 0 2
"121" "prenascence" "MN17" "MN3" 1 0.00284090909090909 3
"122" "prenascence" "MN17" "MN4" 2 0.00568181818181818 4
"123" "prenascence" "MN17" "MN5" 3 0.00852272727272727 5
"124" "prenascence" "MN17" "MN6" 4 0.0113636363636364 6
"125" "prenascence" "MN17" "MN7/8" 8 0.0227272727272727 7
"126" "prenascence" "MN17" "MN9" 9 0.0255681818181818 8
"127" "prenascence" "MN17" "MN10" 12 0.0340909090909091 9
"128" "prenascence" "MN17" "MN11" 13 0.0369318181818182 10
"129" "prenascence" "MN17" "MN12" 15 0.0426136363636364 11
"130" "prenascence" "MN17" "MN13" 35 0.0994318181818182 12
"131" "prenascence" "MN17" "MN14" 85 0.241477272727273 13
"132" "prenascence" "MN17" "MN15" 153 0.434659090909091 14
"133" "prenascence" "MN17" "MN16" 277 0.786931818181818 15
"134" "prenascence" "MN17" "MN17" 352 1 16
"135" "prenascence" "MN18" "MN2" 0 0 2
"136" "prenascence" "MN18" "MN3" 1 0.00284090909090909 3
"137" "prenascence" "MN18" "MN4" 2 0.00568181818181818 4
"138" "prenascence" "MN18" "MN5" 3 0.00852272727272727 5
"139" "prenascence" "MN18" "MN6" 4 0.0113636363636364 6
"140" "prenascence" "MN18" "MN7/8" 8 0.0227272727272727 7
"141" "prenascence" "MN18" "MN9" 9 0.0255681818181818 8
"142" "prenascence" "MN18" "MN10" 12 0.0340909090909091 9
"143" "prenascence" "MN18" "MN11" 13 0.0369318181818182 10
"144" "prenascence" "MN18" "MN12" 15 0.0426136363636364 11
"145" "prenascence" "MN18" "MN13" 35 0.0994318181818182 12
"146" "prenascence" "MN18" "MN14" 85 0.241477272727273 13
"147" "prenascence" "MN18" "MN15" 153 0.434659090909091 14
"148" "prenascence" "MN18" "MN16" 277 0.786931818181818 15
"149" "prenascence" "MN18" "MN17" 352 1 16
"150" "prenascence" "MN18" "MN18" 352 1 17
