"type" "cohort" "bin" "r" "x" "t"
"1" "prenascence" "MN2" "MN1" 124 0.349295774647887 1
"2" "prenascence" "MN2" "MN2" 355 1 2
"3" "prenascence" "MN3" "MN1" 65 0.143487858719647 1
"4" "prenascence" "MN3" "MN2" 296 0.653421633554084 2
"5" "prenascence" "MN3" "MN3" 453 1 3
"6" "prenascence" "MN4" "MN1" 47 0.0795262267343486 1
"7" "prenascence" "MN4" "MN2" 234 0.395939086294416 2
"8" "prenascence" "MN4" "MN3" 391 0.661590524534687 3
"9" "prenascence" "MN4" "MN4" 591 1 4
"10" "prenascence" "MN5" "MN1" 33 0.0538336052202284 1
"11" "prenascence" "MN5" "MN2" 112 0.182707993474715 2
"12" "prenascence" "MN5" "MN3" 210 0.34257748776509 3
"13" "prenascence" "MN5" "MN4" 410 0.66884176182708 4
"14" "prenascence" "MN5" "MN5" 613 1 5
"15" "prenascence" "MN6" "MN1" 23 0.0422018348623853 1
"16" "prenascence" "MN6" "MN2" 77 0.141284403669725 2
"17" "prenascence" "MN6" "MN3" 142 0.260550458715596 3
"18" "prenascence" "MN6" "MN4" 271 0.497247706422018 4
"19" "prenascence" "MN6" "MN5" 474 0.869724770642202 5
"20" "prenascence" "MN6" "MN6" 545 1 6
"21" "prenascence" "MN7/8" "MN1" 14 0.0269230769230769 1
"22" "prenascence" "MN7/8" "MN2" 48 0.0923076923076923 2
"23" "prenascence" "MN7/8" "MN3" 91 0.175 3
"24" "prenascence" "MN7/8" "MN4" 191 0.367307692307692 4
"25" "prenascence" "MN7/8" "MN5" 358 0.688461538461538 5
"26" "prenascence" "MN7/8" "MN6" 429 0.825 6
"27" "prenascence" "MN7/8" "MN7/8" 520 1 7
"28" "prenascence" "MN9" "MN1" 8 0.0149532710280374 1
"29" "prenascence" "MN9" "MN2" 26 0.0485981308411215 2
"30" "prenascence" "MN9" "MN3" 42 0.0785046728971963 3
"31" "prenascence" "MN9" "MN4" 104 0.194392523364486 4
"32" "prenascence" "MN9" "MN5" 177 0.330841121495327 5
"33" "prenascence" "MN9" "MN6" 218 0.407476635514019 6
"34" "prenascence" "MN9" "MN7/8" 309 0.577570093457944 7
"35" "prenascence" "MN9" "MN9" 535 1 8
"36" "prenascence" "MN10" "MN1" 7 0.0125673249551167 1
"37" "prenascence" "MN10" "MN2" 20 0.0359066427289048 2
"38" "prenascence" "MN10" "MN3" 33 0.059245960502693 3
"39" "prenascence" "MN10" "MN4" 73 0.131059245960503 4
"40" "prenascence" "MN10" "MN5" 128 0.229802513464991 5
"41" "prenascence" "MN10" "MN6" 156 0.280071813285458 6
"42" "prenascence" "MN10" "MN7/8" 217 0.389587073608618 7
"43" "prenascence" "MN10" "MN9" 443 0.795332136445242 8
"44" "prenascence" "MN10" "MN10" 557 1 9
"45" "prenascence" "MN11" "MN1" 5 0.00904159132007233 1
"46" "prenascence" "MN11" "MN2" 16 0.0289330922242315 2
"47" "prenascence" "MN11" "MN3" 26 0.0470162748643761 3
"48" "prenascence" "MN11" "MN4" 49 0.0886075949367089 4
"49" "prenascence" "MN11" "MN5" 89 0.160940325497288 5
"50" "prenascence" "MN11" "MN6" 106 0.191681735985533 6
"51" "prenascence" "MN11" "MN7/8" 150 0.27124773960217 7
"52" "prenascence" "MN11" "MN9" 302 0.546112115732369 8
"53" "prenascence" "MN11" "MN10" 416 0.752260397830018 9
"54" "prenascence" "MN11" "MN11" 553 1 10
"55" "prenascence" "MN12" "MN1" 3 0.0048780487804878 1
"56" "prenascence" "MN12" "MN2" 13 0.0211382113821138 2
"57" "prenascence" "MN12" "MN3" 21 0.0341463414634146 3
"58" "prenascence" "MN12" "MN4" 36 0.0585365853658537 4
"59" "prenascence" "MN12" "MN5" 70 0.113821138211382 5
"60" "prenascence" "MN12" "MN6" 84 0.136585365853659 6
"61" "prenascence" "MN12" "MN7/8" 122 0.198373983739837 7
"62" "prenascence" "MN12" "MN9" 235 0.382113821138211 8
"63" "prenascence" "MN12" "MN10" 325 0.528455284552846 9
