"type" "cohort" "bin" "r" "x" "t"
"1" "survivorship" "MN1" "MN1" 72 1 1
"2" "survivorship" "MN1" "MN2" 72 1 2
"3" "survivorship" "MN1" "MN3" 39 0.541666666666667 3
"4" "survivorship" "MN1" "MN4" 25 0.347222222222222 4
"5" "survivorship" "MN1" "MN5" 16 0.222222222222222 5
"6" "survivorship" "MN1" "MN6" 13 0.180555555555556 6
"7" "survivorship" "MN1" "MN7/8" 9 0.125 7
"8" "survivorship" "MN1" "MN9" 5 0.0694444444444444 8
"9" "survivorship" "MN1" "MN10" 4 0.0555555555555556 9
"10" "survivorship" "MN1" "MN11" 4 0.0555555555555556 10
"11" "survivorship" "MN1" "MN12" 2 0.0277777777777778 11
"12" "survivorship" "MN1" "MN13" 1 0.0138888888888889 12
"13" "survivorship" "MN1" "MN14" 0 0 13
"14" "survivorship" "MN2" "MN2" 168 1 2
"15" "survivorship" "MN2" "MN3" 135 0.803571428571429 3
"16" "survivorship" "MN2" "MN4" 88 0.523809523809524 4
"17" "survivorship" "MN2" "MN5" 40 0.238095238095238 5
"18" "survivorship" "MN2" "MN6" 33 0.196428571428571 6
"19" "survivorship" "MN2" "MN7/8" 21 0.125 7
"20" "survivorship" "MN2" "MN9" 14 0.0833333333333333 8
"21" "survivorship" "MN2" "MN10" 11 0.0654761904761905 9
"22" "survivorship" "MN2" "MN11" 9 0.0535714285714286 10
"23" "survivorship" "MN2" "MN12" 7 0.0416666666666667 11
"24" "survivorship" "MN2" "MN13" 5 0.0297619047619048 12
"25" "survivorship" "MN2" "MN14" 2 0.0119047619047619 13
"26" "survivorship" "MN2" "MN15" 2 0.0119047619047619 14
"27" "survivorship" "MN2" "MN16" 1 0.00595238095238095 15
"28" "survivorship" "MN2" "MN17" 0 0 16
"29" "survivorship" "MN3" "MN3" 241 1 3
"30" "survivorship" "MN3" "MN4" 194 0.804979253112033 4
"31" "survivorship" "MN3" "MN5" 102 0.423236514522822 5
"32" "survivorship" "MN3" "MN6" 70 0.29045643153527 6
"33" "survivorship" "MN3" "MN7/8" 47 0.195020746887967 7
"34" "survivorship" "MN3" "MN9" 26 0.107883817427386 8
"35" "survivorship" "MN3" "MN10" 20 0.0829875518672199 9
"36" "survivorship" "MN3" "MN11" 15 0.0622406639004149 10
"37" "survivorship" "MN3" "MN12" 12 0.0497925311203319 11
"38" "survivorship" "MN3" "MN13" 9 0.037344398340249 12
"39" "survivorship" "MN3" "MN14" 4 0.016597510373444 13
"40" "survivorship" "MN3" "MN15" 4 0.016597510373444 14
"41" "survivorship" "MN3" "MN16" 3 0.012448132780083 15
"42" "survivorship" "MN3" "MN17" 1 0.004149377593361 16
"43" "survivorship" "MN3" "MN18" 1 0.004149377593361 17
"44" "survivorship" "MN4" "MN4" 344 1 4
"45" "survivorship" "MN4" "MN5" 252 0.732558139534884 5
"46" "survivorship" "MN4" "MN6" 183 0.531976744186046 6
"47" "survivorship" "MN4" "MN7/8" 135 0.392441860465116 7
"48" "survivorship" "MN4" "MN9" 84 0.244186046511628 8
"49" "survivorship" "MN4" "MN10" 54 0.156976744186047 9
"50" "survivorship" "MN4" "MN11" 33 0.0959302325581395 10
"51" "survivorship" "MN4" "MN12" 23 0.0668604651162791 11
"52" "survivorship" "MN4" "MN13" 20 0.0581395348837209 12
"53" "survivorship" "MN4" "MN14" 9 0.0261627906976744 13
"54" "survivorship" "MN4" "MN15" 8 0.0232558139534884 14
"55" "survivorship" "MN4" "MN16" 6 0.0174418604651163 15
"56" "survivorship" "MN4" "MN17" 2 0.00581395348837209 16
"57" "survivorship" "MN4" "MN18" 2 0.00581395348837209 17
"58" "survivorship" "MN5" "MN5" 351 1 5
"59" "survivorship" "MN5" "MN6" 282 0.803418803418803 6
"60" "survivorship" "MN5" "MN7/8" 211 0.601139601139601 7
"61" "survivorship" "MN5" "MN9" 120 0.341880341880342 8
"62" "survivorship" "MN5" "MN10" 76 0.216524216524217 9
"63" "survivorship" "MN5" "MN11" 46 0.131054131054131 10
"64" "survivorship" "MN5" "MN12" 31 0.0883190883190883 11
"65" "survivorship" "MN5" "MN13" 26 0.0740740740740741 12
"66" "survivorship" "MN5" "MN14" 12 0.0341880341880342 13
"67" "survivorship" "MN5" "MN15" 10 0.0284900284900285 14
"68" "survivorship" "MN5" "MN16" 7 0.0199430199430199 15
"69" "survivorship" "MN5" "MN17" 3 0.00854700854700855 16
"70" "survivorship" "MN5" "MN18" 3 0.00854700854700855 17
"71" "survivorship" "MN6" "MN6" 343 1 6
"72" "survivorship" "MN6" "MN7/8" 272 0.793002915451895 7
"73" "survivorship" "MN6" "MN9" 154 0.448979591836735 8
