"type" "cohort" "bin" "r" "x" "t"
"1" "survivorship" "MN1" "MN1" 124 1 1
"2" "survivorship" "MN1" "MN2" 124 1 2
"3" "survivorship" "MN1" "MN3" 65 0.524193548387097 3
"4" "survivorship" "MN1" "MN4" 47 0.379032258064516 4
"5" "survivorship" "MN1" "MN5" 33 0.266129032258065 5
"6" "survivorship" "MN1" "MN6" 23 0.185483870967742 6
"7" "survivorship" "MN1" "MN7/8" 14 0.112903225806452 7
"8" "survivorship" "MN1" "MN9" 8 0.0645161290322581 8
"9" "survivorship" "MN1" "MN10" 7 0.0564516129032258 9
"10" "survivorship" "MN1" "MN11" 5 0.0403225806451613 10
"11" "survivorship" "MN1" "MN12" 3 0.0241935483870968 11
"12" "survivorship" "MN1" "MN13" 1 0.00806451612903226 12
"13" "survivorship" "MN1" "MN14" 0 0 13
"14" "survivorship" "MN2" "MN2" 355 1 2
"15" "survivorship" "MN2" "MN3" 296 0.833802816901408 3
"16" "survivorship" "MN2" "MN4" 234 0.659154929577465 4
"17" "survivorship" "MN2" "MN5" 112 0.315492957746479 5
"18" "survivorship" "MN2" "MN6" 77 0.216901408450704 6
"19" "survivorship" "MN2" "MN7/8" 48 0.135211267605634 7
"20" "survivorship" "MN2" "MN9" 26 0.0732394366197183 8
"21" "survivorship" "MN2" "MN10" 20 0.0563380281690141 9
"22" "survivorship" "MN2" "MN11" 16 0.0450704225352113 10
"23" "survivorship" "MN2" "MN12" 13 0.0366197183098592 11
"24" "survivorship" "MN2" "MN13" 10 0.028169014084507 12
"25" "survivorship" "MN2" "MN14" 4 0.0112676056338028 13
"26" "survivorship" "MN2" "MN15" 4 0.0112676056338028 14
"27" "survivorship" "MN2" "MN16" 4 0.0112676056338028 15
"28" "survivorship" "MN2" "MN17" 1 0.0028169014084507 16
"29" "survivorship" "MN2" "MN18" 1 0.0028169014084507 17
"30" "survivorship" "MN3" "MN3" 453 1 3
"31" "survivorship" "MN3" "MN4" 391 0.863134657836645 4
"32" "survivorship" "MN3" "MN5" 210 0.463576158940397 5
"33" "survivorship" "MN3" "MN6" 142 0.313465783664459 6
"34" "survivorship" "MN3" "MN7/8" 91 0.200883002207506 7
"35" "survivorship" "MN3" "MN9" 42 0.0927152317880795 8
"36" "survivorship" "MN3" "MN10" 33 0.0728476821192053 9
"37" "survivorship" "MN3" "MN11" 26 0.0573951434878587 10
"38" "survivorship" "MN3" "MN12" 21 0.0463576158940397 11
"39" "survivorship" "MN3" "MN13" 17 0.0375275938189845 12
"40" "survivorship" "MN3" "MN14" 6 0.0132450331125828 13
"41" "survivorship" "MN3" "MN15" 6 0.0132450331125828 14
"42" "survivorship" "MN3" "MN16" 6 0.0132450331125828 15
"43" "survivorship" "MN3" "MN17" 2 0.00441501103752759 16
"44" "survivorship" "MN3" "MN18" 2 0.00441501103752759 17
"45" "survivorship" "MN4" "MN4" 591 1 4
"46" "survivorship" "MN4" "MN5" 410 0.693739424703892 5
"47" "survivorship" "MN4" "MN6" 271 0.458544839255499 6
"48" "survivorship" "MN4" "MN7/8" 191 0.323181049069374 7
"49" "survivorship" "MN4" "MN9" 104 0.175972927241963 8
"50" "survivorship" "MN4" "MN10" 73 0.123519458544839 9
"51" "survivorship" "MN4" "MN11" 49 0.0829103214890017 10
"52" "survivorship" "MN4" "MN12" 36 0.0609137055837563 11
"53" "survivorship" "MN4" "MN13" 32 0.0541455160744501 12
"54" "survivorship" "MN4" "MN14" 13 0.0219966159052453 13
"55" "survivorship" "MN4" "MN15" 12 0.0203045685279188 14
"56" "survivorship" "MN4" "MN16" 11 0.0186125211505922 15
"57" "survivorship" "MN4" "MN17" 4 0.00676818950930626 16
"58" "survivorship" "MN4" "MN18" 4 0.00676818950930626 17
"59" "survivorship" "MN5" "MN5" 613 1 5
"60" "survivorship" "MN5" "MN6" 474 0.773246329526917 6
"61" "survivorship" "MN5" "MN7/8" 358 0.584013050570963 7
"62" "survivorship" "MN5" "MN9" 177 0.288743882544861 8
"63" "survivorship" "MN5" "MN10" 128 0.208809135399674 9
"64" "survivorship" "MN5" "MN11" 89 0.145187601957586 10
"65" "survivorship" "MN5" "MN12" 70 0.114192495921697 11
